"resource_id","role","path","md5"
"atlas-schaefer2018-500parcels-7networks-order","atlas","files/Schaefer2018_500Parcels_7Networks_order.rds","d7072208d8a77918cf1fc5295159fb7b"
"atlas-schaefer2018-600parcels-17networks-order","atlas","files/Schaefer2018_600Parcels_17Networks_order.rds","c533b9994d0d19c5c3dc8ddf62c6f0f8"
"atlas-schaefer2018-600parcels-7networks-order","atlas","files/Schaefer2018_600Parcels_7Networks_order.rds","c033cee915a5db2679dfb89c63be72e4"
"atlas-schaefer2018-700parcels-17networks-order","atlas","files/Schaefer2018_700Parcels_17Networks_order.rds","95fa83abddb290bfb97f1ee50318151d"
"atlas-schaefer2018-700parcels-7networks-order","atlas","files/Schaefer2018_700Parcels_7Networks_order.rds","6f14d2eff514bf2b6cddde5e6c57bd0b"
"atlas-schaefer2018-800parcels-17networks-order","atlas","files/Schaefer2018_800Parcels_17Networks_order.rds","3d5db894161e9e788b6fefef402c610b"
"atlas-schaefer2018-800parcels-7networks-order","atlas","files/Schaefer2018_800Parcels_7Networks_order.rds","6baccf6d1bbbb1d08238264912a0571c"
"atlas-schaefer2018-900parcels-17networks-order","atlas","files/Schaefer2018_900Parcels_17Networks_order.rds","fd308efc65fc57fdf3c9943f650b874b"
"atlas-schaefer2018-900parcels-7networks-order","atlas","files/Schaefer2018_900Parcels_7Networks_order.rds","eaa2202bee0e40918af3a58f0a54b96a"
"atlas-suit-cerebellar-lobule","atlas","files/SUIT_cerebellar_lobule.rds","3f0c718d99787c2deda890160f5ac42c"
"atlas-thalamus-hcp","atlas","files/Thalamus_HCP.rds","675b847930ec72ad56b2a67c54bcaa43"
"atlas-thalamus-thomas","atlas","files/Thalamus_THOMAS.rds","d32a72f7514d6aff2340b099f939afac"
"atlas-yeo2011-17networks-n1000","atlas","files/Yeo2011_17Networks_N1000.rds","67994e265f15f1359ccda3c690a3483e"
"atlas-yeo2011-7networks-n1000","atlas","files/Yeo2011_7Networks_N1000.rds","76ba438745c5062320d6b7468dbbd4a2"
"mesh-aicha-subcortex","left","files/AICHA_subcortex_left.vtp","9fd7b1c50f922cc99ee66b15c1852f14"
"mesh-aicha-subcortex","right","files/AICHA_subcortex_right.vtp","aeffe839557fea4cc4b792a01e411176"
"mesh-aseg-subcortex","left","files/aseg_subcortex_left.vtp","91388a3a2b8597e62190ae489e867ad5"
"mesh-aseg-subcortex","right","files/aseg_subcortex_right.vtp","1c405e50bd80d928d7f72892f4d92279"
"mesh-brainnetome-subcortex","left","files/Brainnetome_subcortex_left.vtp","ef6ed541f31e79c666e3260bb9bd84e8"
"mesh-brainnetome-subcortex","right","files/Brainnetome_subcortex_right.vtp","bd9b234fd33c1e42eb90112c79a6eee3"
"mesh-brainstem-navigator","mesh","files/Brainstem_Navigator.vtp","167dacf96183748b7f31accd99aa7b24"
"mesh-brainstem-navigator-display","mesh","files/Brainstem_Navigator_display.vtp","e741427c1051a8101b8edd4e33b0c05f"
"mesh-brainstem-navigator-ellipsoids","mesh","files/Brainstem_Navigator_ellipsoids.vtp","58772717813c38407535c487280ac0b6"
"mesh-cit168-subcortex","left","files/CIT168_subcortex_left.vtp","6f3dd1426d17d2d6cb8a01ee0fc223a8"
"mesh-cit168-subcortex","right","files/CIT168_subcortex_right.vtp","c91c56084543a29e42a2f8fef8951da1"
"mesh-data-statemtl-241118-0","mesh","files/data_StateMTL_241118_0.vtp","56748330933c13ac9f7b89c58559ea9a"
"mesh-melbourne-s1","left","files/Melbourne_S1_left.vtp","ac85dccd7de7defe5b6b665920a4db80"
"mesh-melbourne-s1","right","files/Melbourne_S1_right.vtp","f6062f4428dab4f1d4fda80ae5bfdf60"
"mesh-melbourne-s2","left","files/Melbourne_S2_left.vtp","f3c0751cf7de44138b8ec9a59aa74ae1"
"mesh-melbourne-s2","right","files/Melbourne_S2_right.vtp","aa05d329326054e5b4505fda60b186f4"
"mesh-melbourne-s3","left","files/Melbourne_S3_left.vtp","139581940c625ef26af22c3a6ae15370"
"mesh-melbourne-s3","right","files/Melbourne_S3_right.vtp","4b3ba136a6442daff650b49292d7d3b0"
"mesh-melbourne-s4","left","files/Melbourne_S4_left.vtp","840f24c9a4b666984b3efe9acd4ce98d"
"mesh-melbourne-s4","right","files/Melbourne_S4_right.vtp","9fd6febf7da3c983ad56525f870a26e7"
"mesh-suit-cerebellar-lobule","mesh","files/SUIT_cerebellar_lobule.vtp","8ce8744f30799140ab5ada6a4060101a"
"mesh-thalamus-hcp","left","files/Thalamus_HCP_left.vtp","7c1ad3af74467fcf9fc3de948476d550"
"mesh-thalamus-hcp","right","files/Thalamus_HCP_right.vtp","a2086d8d324d9fd73b10a4eb329dbda7"
"mesh-thalamus-thomas","left","files/Thalamus_THOMAS_left.vtp","63415e14745f10e4641a97da75add6f3"
"mesh-thalamus-thomas","right","files/Thalamus_THOMAS_right.vtp","631b87e6206c8612ecd4c1594832fdd6"
"surface-fsaverage-avg-curv","left","files/lh.avg_curv","3e81598a5ac0546443ec37d0ac477c80"
"surface-fsaverage-avg-curv","right","files/rh.avg_curv","76ad91d2488de081392313ad5a87fafb"
"surface-fsaverage-avg-sulc","left","files/lh.avg_sulc","d51f208d75e1aba12cea6229f2a65ec0"
"surface-fsaverage-avg-sulc","right","files/rh.avg_sulc","21663124fe6860dfde882d7cd717bd7b"
"surface-fsaverage-curv","left","files/lh.curv","3e81598a5ac0546443ec37d0ac477c80"
"surface-fsaverage-curv","right","files/rh.curv","76ad91d2488de081392313ad5a87fafb"
"surface-fsaverage-inflated","left","files/lh.inflated","c6faeb3627bfd0c377fafbdb06bfcebf"
"surface-fsaverage-inflated","right","files/rh.inflated","455f9ef79a2cbdcb72619f01945d418b"
"surface-fsaverage-mixed","left","files/lh.mixed","ba8fe6207a417e913f5f63fb115990d3"
"surface-fsaverage-mixed","right","files/rh.mixed","c3603a5b884ce75700449ee6a100f068"
"surface-fsaverage-orig","left","files/lh.orig","004081529122ffa30e52516e85380697"
"surface-fsaverage-orig","right","files/rh.orig","f2bff0272c1c8aad286a24532f64833b"
"surface-fsaverage-pial","left","files/lh.pial","c53c1f70ae8971e1c04bd19e3277fa14"
"surface-fsaverage-pial","right","files/rh.pial","71f11c33db672360d7589c7dbd0e4a3f"
"surface-fsaverage-sulc","left","files/lh.sulc","d51f208d75e1aba12cea6229f2a65ec0"
"surface-fsaverage-sulc","right","files/rh.sulc","21663124fe6860dfde882d7cd717bd7b"
"surface-fsaverage-white","left","files/lh.white","dbe3f900579283efecabc2c74d24b20c"
"surface-fsaverage-white","right","files/rh.white","70918c2e6ed805289f3201256b808982"
"volume-aicha-subcortex","lookup","files/AICHA_subcortex_lookup.csv","d110ce08572283a401a175ace81991f2"
"volume-aicha-subcortex","nifti","files/AICHA_subcortex.nii.gz","cd8e8999d2f914260cd7dbfd6a076114"
"volume-aseg-subcortex","lookup","files/aseg_subcortex_lookup.csv","1f6890f51ecf850bd878309abc43b652"
"volume-aseg-subcortex","nifti","files/aseg_subcortex.nii.gz","81ccb2aa2d0915e787d23556b474b74d"
"volume-brainnetome-subcortex","lookup","files/Brainnetome_subcortex_lookup.csv","1698bc26d47badf96416358310484221"
"volume-brainnetome-subcortex","nifti","files/Brainnetome_subcortex.nii.gz","20f528e39d82bf718f38f74bfffefdea"
"volume-brainstem-navigator","lookup","files/Brainstem_Navigator_lookup.csv","f2d9820ae5c5b3d62afb529b6e3a4f86"
"volume-brainstem-navigator","nifti","files/CLi_RLi.nii.gz","fee26377ee7ee9b784479e382cbbe49c"
"volume-brainstem-navigator","nifti","files/CnF_l.nii.gz","48bab1497fbc27c0d54c5e813b951a06"
"volume-brainstem-navigator","nifti","files/CnF_r.nii.gz","ae64b96126904a84d708ed70b55cf102"
"volume-brainstem-navigator","nifti","files/DR.nii.gz","c486d2c5cf05caa6c05a0c6420b78e93"
"volume-brainstem-navigator","nifti","files/IC_l.nii.gz","7ac3ca68d2c80b651be470858cfac78e"
"volume-brainstem-navigator","nifti","files/IC_r.nii.gz","7e9cfd052ea8f2d86a085e28566860c0"
"volume-brainstem-navigator","nifti","files/iMRtl_l.nii.gz","5a2ff299a2edb754079757b450f75c56"
"volume-brainstem-navigator","nifti","files/iMRtl_r.nii.gz","57fa9fee30a7b201f2bb9660eccb3ceb"
"volume-brainstem-navigator","nifti","files/iMRtm_l.nii.gz","c29d622a54371eeaee429d313d2fb4a8"
"volume-brainstem-navigator","nifti","files/iMRtm_r.nii.gz","dd7926c5dd349eaab9a7a8dccb29e2d6"
"volume-brainstem-navigator","nifti","files/ION_l.nii.gz","9b10761fc6fc283d8649252eda05e646"
"volume-brainstem-navigator","nifti","files/ION_r.nii.gz","9b975d5251eeb28ed28edb7159c92b7a"
"volume-brainstem-navigator","nifti","files/isRt_l.nii.gz","1f982156c14d7a9aca1b620dc30d7cdb"
"volume-brainstem-navigator","nifti","files/isRt_r.nii.gz","0ff2722352f3888012b399b1aa841a0d"
"volume-brainstem-navigator","nifti","files/LC_l.nii.gz","a17061e27adcec87b92c8881a1a418ea"
"volume-brainstem-navigator","nifti","files/LC_r.nii.gz","745acbb3355c45f367ab87f2c091d80b"
"volume-brainstem-navigator","nifti","files/LDTg_CGPn_l.nii.gz","f332e7df4281e79934869d544ff35a9f"
"volume-brainstem-navigator","nifti","files/LDTg_CGPn_r.nii.gz","5e865f99307a83512914fadaca48c06a"
"volume-brainstem-navigator","nifti","files/LPB_l.nii.gz","ca084d640c667b457d24858fff6c636a"
"volume-brainstem-navigator","nifti","files/LPB_r.nii.gz","9956b01ef62adb1ef9e60f52434942de"
"volume-brainstem-navigator","nifti","files/MiTg_PBG_l.nii.gz","18e0b7579d3cc69c44a4aaf736c86267"
"volume-brainstem-navigator","nifti","files/MiTg_PBG_r.nii.gz","26bf35d95d806c478cc0fcf6adecccc6"
"volume-brainstem-navigator","nifti","files/MnR.nii.gz","f5f8eaba098d455acc817ec21ef3d74f"
"volume-brainstem-navigator","nifti","files/MPB_l.nii.gz","3f38327f5a91444f99d012329722b1be"
"volume-brainstem-navigator","nifti","files/MPB_r.nii.gz","c7daadca0182cdf6bcce7dd5cb7e1b82"
"volume-brainstem-navigator","nifti","files/mRta_l.nii.gz","d97353330205c86c07b2ad8aaea3b76e"
"volume-brainstem-navigator","nifti","files/mRta_r.nii.gz","ff547807086010c3560bab28cb39c705"
"volume-brainstem-navigator","nifti","files/mRtd_l.nii.gz","a16915c977852b0e16db291c431d4403"
"volume-brainstem-navigator","nifti","files/mRtd_r.nii.gz","8b4c0234879df57bc64b1c6ad63220b6"
"volume-brainstem-navigator","nifti","files/mRtl_l.nii.gz","2f1d668bba71bcf50d566197389e1058"
"volume-brainstem-navigator","nifti","files/mRtl_r.nii.gz","d9d5109ff57d4872b0ad3ea714c6ba4d"
"volume-brainstem-navigator","nifti","files/PAG.nii.gz","5ba22889deea9b2fccbbe09b67ac21b1"
"volume-brainstem-navigator","nifti","files/PCRtA_l.nii.gz","18716cb8ae30383d93cfd0f1eb8beb16"
"volume-brainstem-navigator","nifti","files/PCRtA_r.nii.gz","4ea7782f5587742a3aa98faaae4e4f32"
"volume-brainstem-navigator","nifti","files/PMnR.nii.gz","2a7d736b0c0643928eeed3c49d43bbd2"
"volume-brainstem-navigator","nifti","files/PnO_PnC_l.nii.gz","35525734f81078c18144bf08558672cd"
"volume-brainstem-navigator","nifti","files/PnO_PnC_r.nii.gz","1ea39a22d69efb82afa203f3fa5d797a"
"volume-brainstem-navigator","nifti","files/PTg_l.nii.gz","527c5b8d2da478a4efbdea587e1a5b3a"
"volume-brainstem-navigator","nifti","files/PTg_r.nii.gz","4e3b0a7457bbe87b13e1a38e6516cebc"
"volume-brainstem-navigator","nifti","files/RMg.nii.gz","175dd358e5f5a36e4d9196c9a3de2102"
"volume-brainstem-navigator","nifti","files/RN1_l.nii.gz","45424e83cd563a7b170d0659ef9b2f71"
"volume-brainstem-navigator","nifti","files/RN1_r.nii.gz","f72c94c42a707643222a349205292735"
"volume-brainstem-navigator","nifti","files/RN2_l.nii.gz","5dcd6fa907ed044a3182173029b6d8d8"
"volume-brainstem-navigator","nifti","files/RN2_r.nii.gz","9051f64ab50d9c54022a320dd267cc4f"
"volume-brainstem-navigator","nifti","files/ROb.nii.gz","e275b7c6ec8e18b0388f12a23dd8d8a8"
"volume-brainstem-navigator","nifti","files/RPa.nii.gz","3ff10f62fcb400ca978545d588036744"
"volume-brainstem-navigator","nifti","files/SC_l.nii.gz","eedf005c0bc0f86de579ad83b80f7ffd"
"volume-brainstem-navigator","nifti","files/SC_r.nii.gz","09041269cc5643d5ec3c5b7ac0ed6701"
"volume-brainstem-navigator","nifti","files/sMRtl_l.nii.gz","588388f85d0cd63227b4f4eb609d298a"
"volume-brainstem-navigator","nifti","files/sMRtl_r.nii.gz","88669127c9c610771b332a082f1b8a18"
"volume-brainstem-navigator","nifti","files/sMRtm_l.nii.gz","08c977f2fb3eafe23f1957a17b0a2004"
"volume-brainstem-navigator","nifti","files/sMRtm_r.nii.gz","bf2a19c1af22b0f420c8b9f632f26070"
"volume-brainstem-navigator","nifti","files/SN1_l.nii.gz","294d48396fe9e548bd976af723964fd5"
"volume-brainstem-navigator","nifti","files/SN1_r.nii.gz","f2f37864260e4eda49b33b72e5c178b6"
"volume-brainstem-navigator","nifti","files/SN2_l.nii.gz","bd7dcb54fadd13fc679b6feb8da92a48"
"volume-brainstem-navigator","nifti","files/SN2_r.nii.gz","1b396807057deab2095177ec8203a84b"
"volume-brainstem-navigator","nifti","files/SOC_l.nii.gz","bdb73ac9e4771826ab0c1b1b9f6b4862"
"volume-brainstem-navigator","nifti","files/SOC_r.nii.gz","198e1588c0e23b20e08c54ac21835ca0"
"volume-brainstem-navigator","nifti","files/SubC_l.nii.gz","6571f92b10e24ca750c8a2a864566371"
"volume-brainstem-navigator","nifti","files/SubC_r.nii.gz","81d54929b92e5df26c383d301f16e3de"
"volume-brainstem-navigator","nifti","files/Ve_l.nii.gz","d009a8e79c970af30f1b9b226f9c62e5"
"volume-brainstem-navigator","nifti","files/Ve_r.nii.gz","3d6a547a0ea0da7d731bdfb7e6471c0b"
"volume-brainstem-navigator","nifti","files/VSM_l.nii.gz","7c02ea0429762a4a5a35efa6377137c3"
"volume-brainstem-navigator","nifti","files/VSM_r.nii.gz","5432f343f30cee828186215bc66089dc"
"volume-brainstem-navigator","nifti","files/VTA_PBP_l.nii.gz","fa27c0d38207c28eedb564d9d5e4704a"
"volume-brainstem-navigator","nifti","files/VTA_PBP_r.nii.gz","a5594771d241b8a8f382cdb6a9bc9498"
"volume-cit168-subcortex","lookup","files/CIT168_subcortex_lookup.csv","8eb27286035c56f16e20dc0d7633d487"
"volume-cit168-subcortex","nifti","files/CIT168_subcortex.nii.gz","45ee2313a365da9cb98c29804ba2e0ab"
"volume-melbourne-s1","lookup","files/Melbourne_S1_lookup.csv","0fa10fa60f25b44eef3036803d37de0b"
"volume-melbourne-s1","nifti","files/Melbourne_S1.nii.gz","acdb4c1d49cb7f0846c5a7b4b7931868"
"volume-melbourne-s2","lookup","files/Melbourne_S2_lookup.csv","0939b702ca8fbd7f6b20679a51512f59"
"volume-melbourne-s2","nifti","files/Melbourne_S2.nii.gz","e6be5f86336388a4591d6002ab0416f8"
"volume-melbourne-s3","lookup","files/Melbourne_S3_lookup.csv","525f1e8e5cf242e15c0fafb0c4a7c4bf"
"volume-melbourne-s3","nifti","files/Melbourne_S3.nii.gz","3bc6494bbaf15615c447778269e76196"
"volume-melbourne-s4","lookup","files/Melbourne_S4_lookup.csv","178590e9ad48e1daa90c86a33c1f481d"
"volume-melbourne-s4","nifti","files/Melbourne_S4.nii.gz","d7212634661d688642f283cbebfdbc3f"
"volume-suit-cerebellar-lobule","lookup","files/SUIT_cerebellar_lobule_lookup.csv","14ad329369fce18e2b87e540a517db41"
"volume-suit-cerebellar-lobule","nifti","files/SUIT_cerebellar_lobule.nii.gz","86795f57a20f65c9e3aec0e064efbc2e"
"volume-thalamus-hcp","lookup","files/Thalamus_HCP_lookup.csv","87fa7d35426e23c90dcbd1e4801520a6"
"volume-thalamus-hcp","nifti","files/Thalamus_HCP.nii.gz","f04f639bbb5106faea63ce3881bf9078"
"volume-thalamus-thomas","lookup","files/Thalamus_THOMAS_lookup.csv","980fda445e21151fc19f8c7d9bd29eac"
"volume-thalamus-thomas","nifti","files/Thalamus_THOMAS.nii.gz","b098961727c6bf080daf19c36b94e177"
"volume-tpl-mni152nlin2009casym-res-01-label-gm-probseg","nifti","files/tpl-MNI152NLin2009cAsym_res-01_label-GM_probseg.nii.gz","66e5d662e1dbafc52099b4aadc608454"
